gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	recordedByID	identifiedByID
2804567398																										830bd138-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bd138-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020219		L. Richardson	1			Female						Pinned																										7/28/2005		Netting						54352dd1-608d-4262-bad5-16cf83c3d988							USA		Vermont	Addison Co.		Dead Creek WMA, Addison		44																	44 05 40 N	073 11 24 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804567397																										830bcad0-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bcad0-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020208		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804567396																										830bc9ae-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bc9ae-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020206		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804566322																										830bcbf2-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bcbf2-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020210		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804565407																										830bd0ac-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bd0ac-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020218		J. S. Ascher & N. Bricker	1			Female						Pinned																										8/6/2006		Netting						a5bc9ab2-dc11-403f-87f8-3d1ef0cb0c8a							USA		Connecticut	Tolland Co.		Alex Caisse Spring Park, Mansfield		69																	41 43 28.9 N	072 12 07.6 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804564334																										830bcf8a-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bcf8a-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020216		J. S. Ascher & N. Bricker	1			Female						Pinned																										8/6/2006		Netting						a5bc9ab2-dc11-403f-87f8-3d1ef0cb0c8a							USA		Connecticut	Tolland Co.		Alex Caisse Spring Park, Mansfield		69																	41 43 28.9 N	072 12 07.6 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804564333																										830bcd14-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bcd14-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020212		J. S. Ascher & N. Bricker	1			Male						Pinned																										8/6/2006		Netting						a5bc9ab2-dc11-403f-87f8-3d1ef0cb0c8a							USA		Connecticut	Tolland Co.		Alex Caisse Spring Park, Mansfield		69																	41 43 28.9 N	072 12 07.6 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804563345																										830bca3a-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bca3a-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020207		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804563344																										830bc88c-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bc88c-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020204		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
2804562292																										830bcb66-d8e1-11e2-99a2-0026552be7ea										Attribution 4.0 International https://creativecommons.org/licenses/by/4.0/											American Museum of Natural History												AMNH		AMNH Hymenoptera		PreservedSpecimen				830bcb66-d8e1-11e2-99a2-0026552be7ea	AMNH_BEE 00020209		J. S. Ascher	1			Male						Pinned																										8/5/2000		Netting						78bc97fb-2e88-4596-a35b-cade25a5af31							USA		New York	Oswego Co.		Selkirk Shores		85																	43 33 26.0 N	076 12 16.0 W																																						ef138187-389f-4291-bafa-36abdd754f2e								Dufourea novaeangliae Robertson, 1897								Animalia	Arthropoda	Insecta	Hymenoptera	Halictidae	Dufourea		novaeangliae											
