id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
48315507,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382209",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-07-30,1996,7,30,212,,1996-7-30,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382209",100,urn:uuid:fdff7abd-3093-4f68-865a-dd4824deff73,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315507
48315508,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382242",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"J. K. Bouseman",,,,,,,,,,,1996-08-02,1996,8,2,215,,1996-8-2,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382242",100,urn:uuid:b1fae8c1-9729-4409-a5b5-431aa9ab3ec8,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315508
48315509,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382243",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-08-02,1996,8,2,215,,1996-8-2,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382243",100,urn:uuid:726616ab-8505-40f3-90e0-c9a7c7730311,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315509
48315510,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 418448",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"J.K. Bouseman",,,,,,,,,,,1996-08-20,1996,8,20,233,,1996-8-20,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 418448",100,urn:uuid:9c9cb348-4521-424d-b9f4-c1a6d0568819,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315510
48315511,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382244",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-08-02,1996,8,2,215,,1996-8-2,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382244",100,urn:uuid:d4540780-f676-4c39-91c8-92ee9d3f1e52,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315511
48315512,INHS,"Insect Collection",,"Preserved Specimen",,"Insect Collection 382245",,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,,,,,,,,,,,,1996-08-02,1996,8,2,215,,1996-8-2,,,,,,,,,,,,,,,,,,,,U.S.A.,Illinois,Lee,,"Richardson Wildlife Foundation",,0,,41.72416,-89.197,,1000,"41.72416, -89.197",,,,,,,,,,,,,,,"2021-01-24 09:28:37","Insect Collection 382245",100,urn:uuid:10d9572c-1459-4fab-a83e-7d533438c225,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=48315512
49923036,iNaturalist,Observations,,HumanObservation,http://www.inaturalist.org/observations/2077082,2077082,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"John Ascher",2017-11-27T18:09:36Z,,,,,,"BJ Stacey",,,,2015-08-03,2015,8,3,215,,"2015-08-03 15:39:36","Hancock County, Maine, US",,,,,,,,,,,wild,,,,,,,,"United States",Maine,,,,,0,,44.5679,-68.677952,,38,,,,,,,,,,,,,,,,"2020-06-28 22:07:42",2077082,103,urn:uuid:01a1d407-c145-4885-b971-05ffc85bdf79,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=49923036
50690931,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/9309679,9309679,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,jgibbs,2018-04-23T12:18:12Z,,,,,,"Mark Nofsinger",,,,2017-08-11,2017,8,11,223,,"2017/08/11 3:18 PM CDT",,,,,,,,,,,,wild,,,,,,,,"United States",Michigan,,,,,0,,46.2825222392,-89.5723901689,,8,,,,,,,,,,,,,,,,"2020-06-10 03:11:20",9309679,103,urn:uuid:01aca7bf-6e5d-4d41-8893-a300bc6e4707,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=50690931
53677662,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/41292135,41292135,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Max McCarthy",2020-04-03T13:16:26Z,,,,,,"Max McCarthy",,,,2019-07-06,2019,7,6,187,,"Sat Jul 06 2019 15:03:31 GMT-0400 (EDT)",,,,,,,,,,,,wild,,,,,,,,"United States",Massachusetts,,,,,0,,42.4606764567,-71.4026795049,,288,,,,,,,,,,,,,,,,"2020-04-16 13:51:40",41292135,103,urn:uuid:033171aa-58b0-4c75-8154-373cae7eb2c1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=53677662
54582699,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/52359897,52359897,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Spencer Hardy",2020-07-08T13:04:04Z,,,,,,"Spencer Hardy",,,,2020-07-07,2020,7,7,189,,"2020/07/07 7:37 AM EDT",,,,,,,,,,,,wild,,,,,,,,"United States",Vermont,,,,,0,,43.5768361111,-73.3841361111,,,,,,,,,,,,,,,,,,"2020-07-11 09:42:20",52359897,103,urn:uuid:a8a8c410-51ba-429a-8077-29cc1905d132,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=54582699
54680493,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/53242536,53242536,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"John Ascher",2020-07-16T10:45:08Z,,,,,,"Joe Bartok",,,,2020-07-15,2020,7,15,197,,"2020/07/15 6:25 PM EDT","About 8 mm long.",,,,,"Coordinate uncertainty increased to 27317m to protect threatened taxon",,,,,,wild,,,,,,,,Canada,Ontario,,,,,0,,44.4479225446,-77.2029176757,,27317,,,,,,,,,,,,,,,,"2020-08-05 10:04:45",53242536,103,urn:uuid:6c81b442-77ec-4c3f-bf46-167c7f3bda23,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=54680493
54778278,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/54058807,54058807,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Spencer Hardy",2020-07-23T15:09:24Z,,,,,,"Spencer Hardy",,,,2020-07-21,2020,7,21,203,,"2020-07-21 9:26:24 AM EDT",,,,,,,,,,,,wild,,,,,,,,"United States",Vermont,,,,,0,,43.1786111111,-72.4483555556,,,,,,,,,,,,,,,,,,"2020-07-23 15:31:59",54058807,103,urn:uuid:a7af59aa-ca76-4ebe-a181-9ce3564f8869,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=54778278
54778368,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/54059547,54059547,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Spencer Hardy",2020-07-23T15:17:06Z,,,,,,"Spencer Hardy",,,,2020-07-21,2020,7,21,203,,"2020-07-21 1:00:16 PM EDT",,,,,,,,,,,,wild,,,,,,,,"United States",Vermont,,,,,0,,43.35165,-72.5060555556,,,,,,,,,,,,,,,,,,"2020-07-23 18:17:06",54059547,103,urn:uuid:5e0fd274-8a1d-49ee-8ff7-481989fb3afc,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=54778368
55250241,iNaturalist,Observations,,HumanObservation,https://www.inaturalist.org/observations/57484689,57484689,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Spencer Hardy",2020-08-24T21:36:12Z,,,,,,"Erika Mitchell",,,,2020-08-20,2020,8,20,233,,"2020/08/20 2:50 PM EDT",,,,,,,,,,,,wild,,,,,,,,"United States",Vermont,,,,,0,,44.2462252867,-72.24833526,,,,,,,,,,,,,,,,,,"2020-11-12 14:38:11",57484689,103,urn:uuid:d4e89bca-2d3a-44e9-bc1f-19f6e813d39a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=55250241
