gbifID,date,lat,lon
3302565318,2021-06-10T00:00:00Z,43.63159,-73.06241
3302514744,2021-06-04T00:00:00Z,44.66075,-77.88787
3302462077,2021-05-30T00:00:00Z,44.07469,-73.35267
3302271642,2021-05-30T00:00:00Z,45.38382,-72.72388
3302255879,2021-06-04T00:00:00Z,42.03647,-72.74159
3302190720,2021-05-22T00:00:00Z,43.50576,-79.96223
3302076688,2021-05-30T00:00:00Z,44.12693,-78.03809
3302076066,2021-06-06T00:00:00Z,43.46601,-72.39806
3301998549,2021-06-07T00:00:00Z,41.96412,-73.68637
3301992615,2021-06-10T00:00:00Z,42.43695,-71.18185
3301882738,2021-06-08T00:00:00Z,43.29515,-79.8778
3301830286,2021-06-05T00:00:00Z,43.44503,-72.56306
3124906359,2021-05-23T00:00:00Z,43.05172,-72.44495
3124854484,2021-05-27T00:00:00Z,45.63023,-72.92165
3118501633,2015-07-11T00:00:00Z,45.4977,-76.08856
3118262276,2015-06-14T00:00:00Z,45.49592,-76.08724
3117831877,2020-06-23T00:00:00Z,45.42153,-75.69719
3112516681,2021-04-30T00:00:00Z,42.4446,-71.08255
3109050326,2019-06-23T00:00:00Z,44.35402,-78.3098
3090586617,2019-08-24T00:00:00Z,44.88492,-79.25686
3090580388,2018-07-08T00:00:00Z,45.54321,-78.40232
3090566758,2020-07-01T00:00:00Z,45.59268,-73.72636
3090561445,2018-08-26T00:00:00Z,44.94822,-79.51851
3079738642,2019-07-20T00:00:00Z,45.65887,-77.57724
3079737806,2020-06-18T00:00:00Z,43.24489,-79.93435
3079729464,2018-07-08T00:00:00Z,45.64222,-74.1892
3079716859,2020-06-27T00:00:00Z,42.22189,-71.65132
3079716274,2020-09-06T00:00:00Z,45.38484,-76.07098
3079692830,2021-04-05T00:00:00Z,45.32069,-75.79534
3079691894,2020-06-21T00:00:00Z,43.50076,-72.58521
3079660934,2020-09-07T00:00:00Z,45.38625,-79.20474
3079568649,2019-08-21T00:00:00Z,44.84577,-79.98388
3079524836,2020-06-24T00:00:00Z,43.27405,-79.89921
3079519850,2020-06-17T00:00:00Z,42.28361,-71.51733
3070743332,2020-06-24T00:00:00Z,42.34101,-71.42816
3070713061,2020-10-11T00:00:00Z,45.18364,-75.05458
3070679661,2020-06-28T00:00:00Z,45.02429,-75.83733
3070654671,2020-06-28T00:00:00Z,45.02412,-75.83699
3070601219,2020-08-31T00:00:00Z,44.84957,-79.97174
3070589367,2012-08-01T00:00:00Z,45.40643,-75.57663
3070581905,2019-08-11T00:00:00Z,42.88942,-71.95578
3070512390,2015-06-28T00:00:00Z,45.40609,-75.58199
3070501373,2017-06-25T00:00:00Z,45.20841,-75.23
3070489679,2019-06-30T00:00:00Z,40.05809,-75.24524
3070474360,2017-07-01T00:00:00Z,45.3941,-75.19252
3070383365,2020-08-12T00:00:00Z,45.18888,-76.68713
3070382837,2020-07-25T00:00:00Z,45.73067,-76.24815
3070381514,2020-07-12T00:00:00Z,44.97281,-78.2747
3070342373,2014-06-29T00:00:00Z,45.34686,-75.38278
3070295408,2008-07-04T00:00:00Z,45.06168,-75.80927
3070258956,2020-07-02T00:00:00Z,42.58879,-71.30248
3068019403,2020-08-26T00:00:00Z,43.49611,-72.1019
3068008446,2020-08-26T00:00:00Z,43.49646,-72.10201
3067984162,2020-07-13T00:00:00Z,45.38721,-75.22386
3067946051,2020-06-24T00:00:00Z,41.64809,-71.57431
3067919631,2019-07-29T00:00:00Z,43.41135,-70.72326
3067894032,2020-06-28T00:00:00Z,41.33954,-71.87696
3067893623,2019-09-02T00:00:00Z,43.36664,-71.96241
3067851084,2020-08-02T00:00:00Z,43.36869,-71.96173
3067816138,2020-08-14T00:00:00Z,43.50687,-72.13229
3067789093,2020-08-02T00:00:00Z,43.36818,-71.95652
3067761033,2020-06-29T00:00:00Z,43.51245,-72.09586
3067687975,2020-07-11T00:00:00Z,43.40607,-70.62985
3067687043,2020-08-03T00:00:00Z,43.5085,-72.0964
3067682097,2020-06-25T00:00:00Z,42.12632,-71.21502
3067679220,2020-09-06T00:00:00Z,43.50129,-72.09544
3067665194,2020-08-10T00:00:00Z,43.50182,-72.09626
3067664042,2020-06-21T00:00:00Z,42.11179,-71.20891
3067634100,2020-07-14T00:00:00Z,45.39451,-75.51276
3067630121,2020-07-17T00:00:00Z,43.5013,-72.09542
3067598091,2020-07-14T00:00:00Z,45.39451,-75.51276
3067588212,2020-08-10T00:00:00Z,44.80043,-79.12247
3067587143,2020-08-14T00:00:00Z,43.50734,-72.13224
3061775424,2020-07-19T00:00:00Z,45.43912,-75.80324
3061761424,2020-06-24T00:00:00Z,45.38692,-71.97912
3061758409,2020-06-25T00:00:00Z,45.18237,-72.24273
3061732376,2015-06-27T00:00:00Z,43.9296,-71.61318
3061731344,2019-07-15T00:00:00Z,45.09108,-74.21812
3061727443,2020-07-18T00:00:00Z,45.65183,-75.8076
3061724428,2020-06-24T00:00:00Z,45.08674,-74.21456
3061718435,2020-06-26T00:00:00Z,45.27116,-72.06287
3061716321,2018-09-08T00:00:00Z,45.46474,-74.3241
3061671409,2020-06-24T00:00:00Z,45.0403,-72.82085
3061630402,2020-06-14T00:00:00Z,45.29135,-72.13762
3061618409,2020-06-24T00:00:00Z,45.5438,-74.33796
3061600359,2019-08-22T00:00:00Z,45.432,-73.94528
3061587390,2020-06-22T00:00:00Z,41.23349,-75.81997
3061574391,2020-06-13T00:00:00Z,45.54027,-73.33391
3061572414,2020-07-18T00:00:00Z,45.65825,-75.80766
