gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3302565318	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/135396034/original.jpg?1623372199	https://www.inaturalist.org/photos/135396034					2021-06-10T16:40:29Z	Susan Elliott		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Susan Elliott
3302514744	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134396503/original.jpeg?1623008820	https://www.inaturalist.org/photos/134396503					2021-06-04T21:17:46Z	Wasyl Bakowsky		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Wasyl Bakowsky
3302462077	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/133153488/original.jpeg?1622566853	https://www.inaturalist.org/photos/133153488					2021-05-30T18:35:35Z	Nathaniel Sharp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nathaniel Sharp
3302462077	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/133153585/original.jpeg?1622566877	https://www.inaturalist.org/photos/133153585					2021-05-30T18:35:32Z	Nathaniel Sharp		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Nathaniel Sharp
3302271642	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/132681197/original.jpeg?1622401686	https://www.inaturalist.org/photos/132681197					2021-05-30T19:07:33Z	belbaggon		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	belbaggon
3302255879	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134042821/original.jpg?1622906667	https://www.inaturalist.org/photos/134042821					2021-06-04T13:44:34Z	Aaron Hulsey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aaron Hulsey
3302255879	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134042783/original.jpg?1622906657	https://www.inaturalist.org/photos/134042783					2021-06-04T13:44:34Z	Aaron Hulsey		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Aaron Hulsey
3302190720	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/130858112/original.jpeg?1621730533	https://www.inaturalist.org/photos/130858112					2021-05-22T20:03:41Z	Josh Persi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Josh Persi
3302190720	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/130858086/original.jpeg?1621730526	https://www.inaturalist.org/photos/130858086					2021-05-22T20:03:38Z	Josh Persi		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Josh Persi
3302076688	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134765633/original.jpeg?1623132239	https://www.inaturalist.org/photos/134765633					2021-05-31T00:29:08Z	Sarah Bonnett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Bonnett
3302076688	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134765679/original.jpeg?1623132270	https://www.inaturalist.org/photos/134765679					2021-05-31T00:29:07Z	Sarah Bonnett		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sarah Bonnett
3302076066	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/134457949/original.jpg?1623023811	https://www.inaturalist.org/photos/134457949					2021-06-06T20:52:08Z	ross_ny		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ross_ny
