gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3113324817	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127287093/original.jpeg?1620425998	https://www.inaturalist.org/photos/127287093					2021-05-03T14:40:05Z	Robert D Stevenson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robert D Stevenson
3113265027	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127601507/original.jpg?1620525362	https://www.inaturalist.org/photos/127601507					2020-07-23T20:36:08Z	clobrien718		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	clobrien718
3113265027	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/127601769/original.jpg?1620525445	https://www.inaturalist.org/photos/127601769					2020-07-23T20:36:22Z	clobrien718		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	clobrien718
3112884694	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126843287/original.jpg?1620271384	https://www.inaturalist.org/photos/126843287					2018-07-27T23:44:17Z	ps26		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	ps26
3112868997	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125928455/original.jpeg?1620062774	https://www.inaturalist.org/photos/125928455					2014-08-03T04:18:32Z	Robert Allie		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Robert Allie
3112801563	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126551896/original.jpeg?1620178514	https://www.inaturalist.org/photos/126551896					2017-08-10T02:43:04Z	Bonnie Kinder		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bonnie Kinder
3112534506	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/123930303/original.jpg?1619748350	https://www.inaturalist.org/photos/123930303					2020-07-15T20:16:39Z	K.A.Wickens		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	K.A.Wickens
3112451904	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/125791640/original.jpg?1620045067	https://www.inaturalist.org/photos/125791640					2021-05-02T22:56:40Z	Suzanne Mrozak		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Suzanne Mrozak
3112444406	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/126480441/original.jpeg?1620161151	https://www.inaturalist.org/photos/126480441					2017-08-08T03:06:50Z	Bonnie Kinder		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Bonnie Kinder
3112344868	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/124402908/original.jpeg?1619840779	https://www.inaturalist.org/photos/124402908					2021-05-01T01:51:48Z	Daniel Atha		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Daniel Atha
