id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
14217104,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:1b1bd8f7-41e1-47f5-a18d-37c056fa3b8d,"YPM ENT 703653",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-19,1984,7,19,201,,1984-7-19,"ENT number 703653; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52722,42.27083"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Granby, edge of Porter Swamp",,42.27083,-72.52722,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): PORTER_SWAMP (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:0bf6ccb0-e897-45d6-99f0-83b38191902b,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14217104
14222278,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:222cea9b-8202-4b22-bd15-b558658f30f1,"YPM ENT 703969",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703969; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:f1040ceb-7622-45a4-9860-a868ffae946c,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14222278
14229826,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:2cbf8132-1836-4b50-9e28-68da3827de60,"YPM ENT 703982",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703982; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:ffb4d1cd-513b-4022-b4ea-f6b1a7faf96a,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14229826
14256309,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:516187ce-2580-4009-ae22-b23871d8e5e9,"YPM ENT 703975",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703975; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:c654ee19-c92e-49e7-acc9-162b4c8586b5,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14256309
14261833,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:590146fe-6648-4367-bb37-a2ca8c03fda5,"YPM ENT 703749",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703749; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:54ca3b39-5287-498c-a7b2-bacd0277e433,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14261833
14268143,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:61b3961c-488f-46fc-87b9-1eba12939cb1,"YPM ENT 703979",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703979; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:4497ca64-92c6-48d1-80b2-03edf25bc3ed,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14268143
14278062,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:6fb60909-4072-409b-b152-18cad3f56093,"YPM ENT 703740",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-19,1984,7,19,201,,1984-7-19,"ENT number 703740; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52722,42.27083"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Granby, edge of Porter Swamp",,42.27083,-72.52722,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): PORTER_SWAMP (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:fd503082-b14e-4c00-839a-8d5e309cb5c7,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14278062
14278098,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:6fbfe490-3aad-4536-a6a1-4dfbc52c537e,"YPM ENT 703970",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703970; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:e4af4068-d2a3-4d70-8055-1cd3a9d258a1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14278098
14292018,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:82f393b7-21fc-45ae-ba58-4e6b22ea3ffc,"YPM ENT 703650",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1985-07-12,1985,7,12,193,,1985-7-12,"ENT number 703650; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52361,42.38028"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Amherst, edge of Lawrence Swamp",,42.38028,-72.52361,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): AMHERST (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:433bd559-4b46-4292-bf39-0dc1951cec01,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14292018
14320049,YPM,ENT,YPM,eebda952-05ec-474e-833e-1a2085294977,PreservedSpecimen,urn:uuid:aa76255a-b909-42de-949a-bb135ca71c85,"YPM ENT 703984",,Animalia,Arthropoda,Insecta,Hymenoptera,Melittidae,"Macropis nuda",188621,"(Provancher, 1882)",Macropis,nuda,,,,,,,"Animals and Plants: Invertebrates - Insects",,,"Russell B. Miller",,1984-07-19,1984,7,19,201,,1984-7-19,"ENT number 703984; lot count 1",,,,,"{ ""solr_long_lat"": ""-72.52722,42.27083"" }",,,,,,,1,,,,"United States",Massachusetts,"Hampshire County",,"Granby, edge of Porter Swamp",,42.27083,-72.52722,WGS84,,,,"digital resource",GEOLocate,,"GeoLocate (L. Gall, Nov 2009): PORTER_SWAMP (Precision:low)",,,,,,,,en,,"2020-02-04 23:18:39",http://creativecommons.org/publicdomain/zero/1.0/,"Yale University",,urn:uuid:748ce1ca-c187-4f2e-b405-a79d83a255ff,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=14320049
