spp,lon,lat
Lc,-73.51753,42.01842
Lc,-72.35451,42.52637
Lc,-75.34501,41.84875
Lc,-72.15573,42.54706
Lc,-73.97399,41.3969
Lc,-75.82433,42.89099
Lc,-77.38599,43.07099
Lc,-75.37178,41.59186
Lc,-72.66039,43.92453
Lc,-72.29623,43.0393
Lc,-77.59799,44.21597
Lc,-72.9175,43.72311
Lc,-78.62437,44.49869
Lc,-74.45318,42.12704
Lc,-76.16606,42.24137
Lc,-76.8445,44.42468
Lc,-76.1204,43.91314
Lc,-75.70534,44.62585
Lc,-73.24232,45.85608
Lc,-74.46449,45.04243
Lc,-72.25398,43.78652
Lc,-74.37769,41.74162
Lc,-76.47222,44.24939
Lc,-72.89329,42.56679
Lc,-75.72072,44.95046
Lc,-79.06699,44.62676
Lc,-74.58046,41.18445
Lc,-74.5881,45.01179
Lc,-72.53647,43.08228
Lc,-74.67265,41.30286
Lc,-78.30224,44.29743
Lc,-77.68995,44.43976
Lc,-75.61784,40.65637
Lc,-70.64339,43.74888
Lc,-73.48868,45.54535
Lc,-73.07121,43.77877
Lc,-73.24094,44.40652
Lc,-73.5299,42.11819
Lc,-73.19298,42.18714
Lc,-70.49164,43.49806
Lc,-72.05191,44.0755
Lc,-72.77403,43.55952
Lc,-72.40004,42.39058
Lc,-74.01087,40.87297
Lc,-74.44611,45.55353
Lc,-73.03024,42.50288
Lc,-73.65699,42.67097
Lc,-71.89527,42.28632
Lc,-76.54412,40.48653
Lc,-79.47197,44.01785
Lc,-73.21119,42.07036
Lc,-75.46869,40.85375
Lc,-77.18739,42.16166
Lc,-77.67498,43.23259
Lc,-73.27931,44.06042
Lc,-72.97955,42.6794
Lc,-74.17865,41.0916
Lc,-74.91682,41.00098
Lc,-75.85916,45.28447
Lc,-73.99745,44.24485
Lc,-74.88054,45.01622
Lc,-76.52263,44.57167
Lc,-76.8847,43.93452
Lc,-72.55164,44.23704
Lc,-72.57345,42.86716
Lc,-73.00898,42.06311
Lc,-73.03826,42.27722
Lc,-77.50487,41.11361
Lc,-78.68643,43.90581
Lc,-72.49313,42.33173
Lc,-75.3368,45.51137
Lc,-74.42918,41.20405
Lc,-77.32573,44.49388
Lc,-73.0363,41.35902
Lc,-78.51167,44.56398
Lc,-76.40392,44.60604
Lc,-76.90795,40.0742
Lc,-73.32919,42.12679
Lc,-70.96436,43.1317
Lc,-72.64826,43.81063
Lc,-75.48735,40.26636
Lc,-72.7889,44.21731
Lc,-75.26804,40.47398
Lc,-75.75405,40.28094
Lc,-72.16356,43.88665
Lc,-78.68472,40.43161
Lc,-73.38994,45.0396
Lc,-72.40651,42.25456
Lc,-74.08254,45.56044
Lc,-73.91466,45.83939
Lc,-74.62171,40.79866
Lc,-79.02376,43.0463
Lc,-75.01608,40.0255
Lc,-77.19058,40.22125
Lc,-78.89527,42.42092
Lc,-74.80401,40.62846
Lc,-73.71777,43.08272
Lc,-79.35788,43.7014
Lc,-79.16864,41.83185
Lc,-72.34829,43.5934
Lc,-78.94293,43.89754
Lc,-72.87444,43.17149
Lc,-72.67036,41.70119
Lc,-73.19622,41.98015
Lc,-72.65484,41.92679
Lc,-71.92441,44.70798
Lc,-78.29597,43.96359
Lc,-78.90018,42.88319
Lc,-73.44518,45.65384
Lc,-79.73732,43.63497
Lc,-79.79929,43.37085
Lc,-73.32439,45.54314
Lc,-77.42434,42.96525
Lc,-71.28374,44.26108
Lc,-76.25401,42.56331
Lc,-76.64539,41.85569
Lc,-72.48808,45.88755
Lc,-73.00809,44.54886
Lc,-78.84992,44.62092
Lc,-79.84018,44.72804
Lc,-77.23445,43.9055
Lc,-79.50185,44.12597
Lc,-74.62821,45.60729
Lc,-79.40234,44.83549
Lc,-79.9869,43.61682
Lc,-79.5695,44.41714
Lc,-79.42923,42.34251
Lc,-74.16257,43.03302
Lc,-79.90186,43.43429
Lc,-76,42
Lc,-73.69718,42.21716
Lc,-74.50108,40.95139
Lc,-75.22005,43.32322
Lc,-79.65167,44.74346
Lc,-71.75457,44.22925
